faces,has_text,brightness,vibrancy,contrast,color_variety,red_dominance,sharpness,aspect_ratio,image_name
1,1,0.3197,0.3761,0.2184,0.0,0.0437,704.6296,1.78,vid_108.jpg
1,1,0.4323,0.3769,0.2483,0.0,0.0486,495.2563,1.78,vid_1080.jpg
0,1,0.6612,0.5834,0.3054,0.0,0.1586,844.9034,1.78,vid_1081.jpg
1,0,0.2751,0.3596,0.241,66.759,0.102,61.6218,1.78,vid_1082.jpg
0,0,0.3997,0.2593,0.238,59.991,0.0542,82.8966,1.78,vid_1083.jpg
0,0,0.3389,0.2969,0.1896,99.756,0.0628,403.9622,1.78,vid_1084.jpg
0,0,0.3176,0.3036,0.2121,44.21,0.2739,245.1364,1.78,vid_1085.jpg
0,1,0.3585,0.2957,0.2293,0.0,0.0808,688.7764,1.78,vid_1086.jpg
2,1,0.3017,0.2098,0.2669,68.452,0.042,726.07,1.78,vid_1087.jpg
2,1,0.3944,0.214,0.2679,77.99,0.0427,635.5038,1.78,vid_1088.jpg
1,1,0.2959,0.3905,0.2503,88.713,0.033,590.3548,1.78,vid_1089.jpg
4,1,0.2502,0.2305,0.2199,62.292,0.0284,474.0724,1.78,vid_109.jpg
2,1,0.3473,0.1893,0.2422,55.62,0.1833,518.6394,1.78,vid_1090.jpg
0,0,0.5142,0.4451,0.2138,86.927,0.0774,146.4247,1.78,vid_1091.jpg
4,1,0.3206,0.1888,0.2202,79.882,0.0872,1033.691,1.78,vid_1092.jpg
0,0,0.3351,0.2324,0.2022,67.519,0.0039,152.9306,1.78,vid_1093.jpg
1,0,0.3081,0.398,0.203,70.698,0.1145,295.9682,1.78,vid_1094.jpg
0,0,0.3404,0.2135,0.2299,43.367,0.0314,175.4112,1.78,vid_1095.jpg
0,1,0.3981,0.2401,0.2602,81.658,0.1303,609.0408,1.78,vid_1096.jpg
1,1,0.3121,0.2712,0.1803,0.0,0.035,113.1503,1.78,vid_1097.jpg
0,1,0.3081,0.2461,0.241,53.315,0.0127,308.0969,1.78,vid_1098.jpg
0,0,0.3435,0.2287,0.2232,46.139,0.0216,418.2857,1.78,vid_1099.jpg
6,1,0.4805,0.7554,0.2461,0.0,0.4074,1827.4737,1.78,vid_11.jpg
1,1,0.3226,0.2603,0.2286,63.558,0.0382,449.3244,1.78,vid_110.jpg
0,1,0.2451,0.3262,0.185,97.804,0.0095,788.7181,1.78,vid_1100.jpg
2,0,0.3386,0.2836,0.2125,62.723,0.1853,264.1867,1.78,vid_1101.jpg
0,0,0.4246,0.3263,0.2469,0.0,0.1101,192.4981,1.78,vid_1102.jpg
2,1,0.4293,0.3469,0.2367,0.0,0.0013,634.0433,1.78,vid_1103.jpg
1,0,0.3562,0.1988,0.2314,68.327,0.0441,116.7241,1.78,vid_1104.jpg
0,0,0.2977,0.4165,0.1764,0.0,0.1146,295.275,1.78,vid_1105.jpg
2,1,0.3949,0.3762,0.2147,98.965,0.3982,185.1667,1.78,vid_1106.jpg
0,1,0.831,0.2606,0.1905,0.0,0.0773,352.5908,1.78,vid_1107.jpg
0,1,0.3765,0.4361,0.2394,0.0,0.2117,392.3205,1.78,vid_1108.jpg
0,1,0.3151,0.3964,0.2611,0.0,0.0205,1028.446,1.78,vid_1109.jpg
9,1,0.6093,0.3219,0.2934,0.0,0.0157,985.0808,1.78,vid_111.jpg
0,0,0.3269,0.2242,0.2671,58.86,0.0205,168.14,1.78,vid_1110.jpg
1,0,0.3295,0.2788,0.2231,82.958,0.0185,358.1648,1.78,vid_1111.jpg
2,0,0.3279,0.2399,0.2179,36.769,0.0559,213.7043,1.78,vid_1112.jpg
4,1,0.5608,0.4491,0.2616,0.0,0.0096,1473.1003,1.78,vid_1113.jpg
2,1,0.3574,0.1715,0.2576,64.9,0.0688,556.1437,1.78,vid_1114.jpg
2,0,0.4242,0.1573,0.2512,64.67,0.0006,293.6647,1.78,vid_1115.jpg
0,1,0.3509,0.144,0.2106,35.493,0.0087,384.2207,1.78,vid_1116.jpg
1,0,0.3815,0.1548,0.2443,52.712,0.0054,172.7176,1.78,vid_1117.jpg
1,1,0.3667,0.2452,0.3009,92.159,0.0441,461.2376,1.78,vid_1118.jpg
0,1,0.3569,0.2398,0.2526,65.4,0.013,750.004,1.78,vid_1119.jpg
6,1,0.6678,0.6024,0.2396,0.0,0.2739,1973.5134,1.78,vid_112.jpg
0,1,0.2501,0.2423,0.2086,84.56,0.0161,441.2603,1.78,vid_1120.jpg
4,1,0.2813,0.3927,0.2138,0.0,0.0363,673.2894,1.78,vid_1121.jpg
2,1,0.3601,0.345,0.2343,0.0,0.0898,724.2113,1.78,vid_1122.jpg
1,0,0.4534,0.2116,0.2394,0.0,0.144,184.8847,1.78,vid_1123.jpg
0,0,0.1916,0.2139,0.1575,33.657,0.0491,231.2792,1.78,vid_1124.jpg
1,0,0.3249,0.3055,0.1971,72.342,0.2194,231.995,1.78,vid_1125.jpg
0,0,0.3533,0.2548,0.2534,50.334,0.0602,219.2381,1.78,vid_1126.jpg
0,1,0.3963,0.2422,0.2449,0.0,0.0106,901.5225,1.78,vid_1127.jpg
1,1,0.383,0.2304,0.2702,0.0,0.0129,554.9612,1.78,vid_1128.jpg
1,1,0.3704,0.345,0.2359,87.699,0.0343,440.5398,1.78,vid_1129.jpg
7,1,0.5953,0.3695,0.2686,0.0,0.234,2920.7619,1.78,vid_113.jpg
0,1,0.1688,0.3338,0.144,47.088,0.0013,874.1706,1.78,vid_1130.jpg
0,0,0.3711,0.4866,0.2255,0.0,0.2576,321.6404,1.78,vid_1131.jpg
2,1,0.255,0.3371,0.2137,79.566,0.045,327.2239,1.78,vid_1132.jpg
0,0,0.4127,0.2017,0.2798,71.614,0.0441,240.0814,1.78,vid_1133.jpg
0,0,0.4051,0.1791,0.2333,64.755,0.007,129.6162,1.78,vid_1134.jpg
0,1,0.2968,0.6292,0.1927,94.776,0.1454,330.7071,1.78,vid_1135.jpg
2,0,0.3561,0.1775,0.225,64.615,0.0,182.4068,1.78,vid_1136.jpg
0,0,0.361,0.3004,0.2351,71.03,0.0702,465.9233,1.78,vid_1137.jpg
1,1,0.4512,0.3913,0.2389,0.0,0.0731,477.4922,1.78,vid_1138.jpg
0,0,0.2593,0.3598,0.1683,75.864,0.0451,83.2774,1.78,vid_1139.jpg
1,0,0.331,0.353,0.3163,37.956,0.053,690.6839,1.78,vid_114.jpg
0,1,0.4969,0.4106,0.2956,50.693,0.0309,585.8196,1.78,vid_1140.jpg
3,1,0.3467,0.2182,0.243,55.125,0.0696,399.6029,1.78,vid_1141.jpg
0,0,0.362,0.1486,0.2259,65.031,0.0239,112.1477,1.78,vid_1142.jpg
4,1,0.3604,0.4307,0.1942,0.0,0.2357,522.6599,1.78,vid_1143.jpg
2,0,0.3616,0.2544,0.2607,64.876,0.0278,314.7617,1.78,vid_1144.jpg
3,1,0.3739,0.3535,0.2546,0.0,0.0159,705.5993,1.78,vid_1145.jpg
0,0,0.4898,0.8216,0.2158,75.365,0.2358,265.796,1.78,vid_1146.jpg
2,0,0.2742,0.3397,0.2148,78.738,0.0546,302.2814,1.78,vid_1147.jpg
0,0,0.3691,0.195,0.2299,81.223,0.0239,314.0353,1.78,vid_1148.jpg
0,1,0.5346,0.3749,0.1925,95.7,0.0297,604.0871,1.78,vid_1149.jpg
0,0,0.2305,0.353,0.2104,74.885,0.033,393.4153,1.78,vid_115.jpg
1,0,0.272,0.3818,0.2016,82.428,0.006,385.8727,1.78,vid_1150.jpg
0,0,0.2676,0.2499,0.2051,88.954,0.0218,83.929,1.78,vid_1151.jpg
0,1,0.3342,0.508,0.2558,66.497,0.2205,2036.7012,1.78,vid_1152.jpg
3,1,0.3102,0.4832,0.1914,0.0,0.0537,642.5475,1.78,vid_1153.jpg
2,1,0.3534,0.2865,0.215,91.619,0.0121,347.6781,1.78,vid_1154.jpg
0,0,0.4639,0.6437,0.1982,64.835,0.121,397.3288,1.78,vid_1155.jpg
0,0,0.4059,0.2044,0.2649,65.687,0.0772,430.996,1.78,vid_1156.jpg
1,0,0.3234,0.3557,0.235,62.916,0.0795,125.1704,1.78,vid_1157.jpg
2,1,0.5652,0.5461,0.2485,0.0,0.1024,1237.5889,1.78,vid_1158.jpg
0,0,0.3173,0.7809,0.2198,0.0,0.0586,251.4007,1.78,vid_1159.jpg
2,1,0.3197,0.56,0.1775,86.847,0.0125,324.3265,1.78,vid_116.jpg
0,1,0.3541,0.2419,0.2324,64.13,0.0701,470.4832,1.78,vid_1160.jpg
0,0,0.3843,0.3103,0.2456,79.767,0.159,375.7238,1.78,vid_1161.jpg
0,0,0.2306,0.4808,0.2211,59.713,0.0249,528.8465,1.78,vid_1162.jpg
0,0,0.4476,0.2272,0.2681,91.745,0.0026,235.2066,1.78,vid_1163.jpg
0,1,0.4106,0.329,0.2559,0.0,0.053,509.0321,1.78,vid_1164.jpg
1,0,0.3822,0.2265,0.2319,75.272,0.0315,276.6101,1.78,vid_1165.jpg
0,0,0.3604,0.283,0.2435,68.112,0.2278,227.663,1.78,vid_1166.jpg
0,1,0.3391,0.3614,0.2267,55.31,0.05,473.4434,1.78,vid_1167.jpg
0,1,0.3917,0.1568,0.2267,81.388,0.0779,418.4728,1.78,vid_1168.jpg
2,0,0.2696,0.5643,0.2087,70.555,0.0241,243.7946,1.78,vid_1169.jpg
5,1,0.4816,0.3912,0.3203,0.0,0.1176,5569.8353,1.78,vid_117.jpg
2,0,0.3105,0.2218,0.2094,74.539,0.0776,161.0907,1.78,vid_1170.jpg
4,0,0.3657,0.3498,0.1788,58.807,0.0082,134.4935,1.78,vid_1171.jpg
1,1,0.2999,0.4161,0.2774,94.464,0.0225,284.0678,1.78,vid_1172.jpg
1,0,0.3204,0.3588,0.2538,90.899,0.0204,148.8036,1.78,vid_1173.jpg
4,0,0.3511,0.2936,0.2418,97.287,0.0457,190.7749,1.78,vid_1174.jpg
0,1,0.2362,0.5019,0.1725,71.319,0.3232,119.847,1.78,vid_1175.jpg
0,1,0.2816,0.3785,0.2011,0.0,0.127,195.6298,1.78,vid_1176.jpg
2,1,0.659,0.2778,0.2751,0.0,0.0233,3249.5258,1.78,vid_1177.jpg
0,0,0.4354,0.2399,0.3054,70.301,0.1752,253.9244,1.78,vid_1178.jpg
0,1,0.3853,0.193,0.2625,0.0,0.0308,882.3505,1.78,vid_1179.jpg
4,1,0.5345,0.7686,0.3043,0.0,0.4968,1954.2973,1.78,vid_118.jpg
1,1,0.396,0.2936,0.2378,0.0,0.0021,502.2396,1.78,vid_1180.jpg
0,0,0.224,0.3359,0.1476,36.852,0.0977,75.3948,1.78,vid_1181.jpg
0,1,0.3754,0.3665,0.2214,73.883,0.1171,301.7932,1.78,vid_1182.jpg
0,1,0.3818,0.3902,0.2193,90.102,0.0335,480.9871,1.78,vid_1183.jpg
3,1,0.3437,0.3242,0.2128,98.424,0.1473,386.8916,1.78,vid_1184.jpg
0,0,0.3915,0.2494,0.2363,62.549,0.0525,118.9693,1.78,vid_1185.jpg
2,1,0.3376,0.3529,0.1959,77.583,0.0914,121.8404,1.78,vid_1186.jpg
2,0,0.3377,0.3201,0.2216,0.0,0.0691,377.0386,1.78,vid_1187.jpg
